;linea;RMSE;MAE
0;SAPRFMADR26;9.153611275588434;6.786163601346132
1;SAPRFMADR20;6.868982073949299;5.655997059353022
2;SAPRFMADR23;12.429446816762576;9.692225734162882
3;SAPRFMADR16;9.249711563084476;8.257811459267916
4;SAPRFMADR19;6.004151652841023;5.035530779753365
5;SAPRFMADR21;1.5836411228497143;1.104038673256704
6;SAPRFMADR18;4.776153752792293;4.047712899211778
7;SAPRFMADR24;0.47220332714660795;0.38160689621598853
8;SAPRFMADR25;1.8623360191555742;1.5914022439683975
9;total;44.200606479619026;34.139443965622426
